Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Mean AUC,Parameters
Custom CNN,0.8175,0.8383,0.8175,0.8082,0.8082,0.9499,"423,748"
EfficientNetB0,0.9319,0.9357,0.9319,0.9304,0.9304,0.9876,"4,214,055"
